"Object"             ,"Close-Approach (CA) Date"     ,"CA DistanceNominal (au)" ,"CA DistanceMinimum (au)" ,"V relative(km/s)" ,"V infinity(km/s)" ,"H(mag)" ,"Diameter"       ,"Rarity"
"(2020 RL)"          ,"2024-Aug-27 00:55 ± 1_08:36"  ,"0.03129"                 ,"0.02241"                 ,"8.22"             ,"8.21"             ,"25.1"   ,"25 m -   57 m"  ,"0"
"(2024 QK)"          ,"2024-Aug-28 04:23 ± < 00:01"  ,"0.04851"                 ,"0.04824"                 ,"12.67"            ,"12.66"            ,"23.9"   ,"43 m -   97 m"  ,"0"
"(2024 QG)"          ,"2024-Aug-28 16:04 ±    00:19" ,"0.01107"                 ,"0.01100"                 ,"22.45"            ,"22.44"            ,"24.7"   ,"31 m -   68 m"  ,"1"
"(2021 RA10)"        ,"2024-Aug-28 19:17 ± 9_19:36"  ,"0.01745"                 ,"0.00782"                 ,"4.86"             ,"4.83"             ,"25.4"   ,"22 m -   49 m"  ,"0"
"(2012 SX49)"        ,"2024-Aug-29 20:20 ± 4_01:41"  ,"0.02865"                 ,"0.02081"                 ,"4.28"             ,"4.26"             ,"26.2"   ,"15 m -   34 m"  ,"0"
"(2016 RJ20)"        ,"2024-Aug-30 22:12 ±    00:02" ,"0.04674"                 ,"0.04666"                 ,"14.78"            ,"14.78"            ,"23.6"   ,"51 m -  110 m"  ,"0"
"(2021 JT)"          ,"2024-Sep-01 18:17 ± 4_11:53"  ,"0.04186"                 ,"0.03815"                 ,"8.20"             ,"8.19"             ,"27.3"   ,"9.0 m -   20 m" ,"0"
"(2021 RB16)"        ,"2024-Sep-02 00:18 ± 4_03:40"  ,"0.03150"                 ,"0.02879"                 ,"8.37"             ,"8.36"             ,"26.9"   ,"11 m -   25 m"  ,"0"
"(2007 RX8)"         ,"2024-Sep-02 10:23 ± 2_09:14"  ,"0.04731"                 ,"0.02277"                 ,"6.98"             ,"6.98"             ,"24.5"   ,"33 m -   74 m"  ,"0"
"(2022 SR)"          ,"2024-Sep-07 12:10 ± 3_01:22"  ,"0.02319"                 ,"0.01358"                 ,"6.34"             ,"6.33"             ,"24.6"   ,"32 m -   70 m"  ,"0"
"(2023 SP2)"         ,"2024-Sep-09 14:50 ±    03:40" ,"0.03916"                 ,"0.03497"                 ,"4.17"             ,"4.16"             ,"28.2"   ,"6.0 m -   13 m" ,"0"
"(2024 PM6)"         ,"2024-Sep-09 16:25 ±    00:04" ,"0.03576"                 ,"0.03571"                 ,"9.05"             ,"9.04"             ,"24.3"   ,"37 m -   83 m"  ,"0"
"(2016 TU19)"        ,"2024-Sep-11 14:00 ±    13:46" ,"0.03389"                 ,"0.01742"                 ,"10.06"            ,"10.05"            ,"24.4"   ,"35 m -   78 m"  ,"0"
"(2019 DJ1)"         ,"2024-Sep-15 22:23 ± < 00:01"  ,"0.02672"                 ,"0.02669"                 ,"4.86"             ,"4.84"             ,"26.8"   ,"12 m -   26 m"  ,"0"
"(2024 ON)"          ,"2024-Sep-17 10:15 ±    00:19" ,"0.00668"                 ,"0.00667"                 ,"8.87"             ,"8.83"             ,"20.4"   ,"220 m -  490 m" ,"3"
"(2013 FW13)"        ,"2024-Sep-18 06:29 ± < 00:01"  ,"0.02172"                 ,"0.02172"                 ,"15.56"            ,"15.55"            ,"21.7"   ,"120 m -  270 m" ,"1"
"(2022 SW3)"         ,"2024-Sep-19 02:24 ±    10:56" ,"0.01747"                 ,"0.01358"                 ,"9.20"             ,"9.19"             ,"24.9"   ,"28 m -   62 m"  ,"0"
"(2015 SH)"          ,"2024-Sep-19 12:31 ± 4_07:03"  ,"0.02974"                 ,"0.00429"                 ,"5.87"             ,"5.86"             ,"28.1"   ,"6.4 m -   14 m" ,"0"
"(2023 RX1)"         ,"2024-Sep-20 18:21 ±    08:20" ,"0.02597"                 ,"0.02580"                 ,"1.11"             ,"1.02"             ,"30.3"   ,"2.4 m -  5.3 m" ,"0"
"(2018 VG)"          ,"2024-Sep-20 23:43 ± 1_11:28"  ,"0.03429"                 ,"0.03355"                 ,"7.26"             ,"7.25"             ,"27.4"   ,"8.8 m -   20 m" ,"0"
"(2020 GE)"          ,"2024-Sep-24 04:52 ± < 00:01"  ,"0.00441"                 ,"0.00441"                 ,"2.22"             ,"1.93"             ,"28.2"   ,"6.2 m -   14 m" ,"0"
"(2011 ST12)"        ,"2024-Sep-27 06:15 ± 9_16:43"  ,"0.04501"                 ,"0.02692"                 ,"7.40"             ,"7.40"             ,"26.4"   ,"14 m -   31 m"  ,"0"
"(2023 GM1)"         ,"2024-Oct-05 11:35 ±    00:59" ,"0.03946"                 ,"0.03904"                 ,"5.20"             ,"5.19"             ,"27.3"   ,"9.4 m -   21 m" ,"0"
"(2014 VA)"          ,"2024-Oct-05 21:22 ± < 00:01"  ,"0.04636"                 ,"0.04636"                 ,"6.30"             ,"6.29"             ,"24.4"   ,"35 m -   78 m"  ,"0"
"(2022 SU21)"        ,"2024-Oct-06 05:04 ± 2_16:19"  ,"0.04488"                 ,"0.00682"                 ,"21.10"            ,"21.10"            ,"24.5"   ,"33 m -   74 m"  ,"0"
"671076 (2014 FP47)" ,"2024-Oct-07 03:33 ± < 00:01"  ,"0.03281"                 ,"0.03281"                 ,"8.64"             ,"8.63"             ,"22.4"   ,"90 m -  200 m"  ,"1"
"(2016 JG38)"        ,"2024-Oct-08 15:12 ± < 00:01"  ,"0.03384"                 ,"0.03383"                 ,"11.97"            ,"11.97"            ,"24.0"   ,"42 m -   93 m"  ,"0"
"(2018 QE)"          ,"2024-Oct-09 04:03 ± 5_23:33"  ,"0.00447"                 ,"0.00284"                 ,"4.40"             ,"4.27"             ,"27.7"   ,"7.7 m -   17 m" ,"0"
"363027 (1998 ST27)" ,"2024-Oct-12 01:52 ± < 00:01"  ,"0.02380"                 ,"0.02380"                 ,"16.63"            ,"16.62"            ,"19.6"   ,"0.578±0.228 km" ,"2"
"(2008 UU95)"        ,"2024-Oct-12 11:25 ± < 00:01"  ,"0.03452"                 ,"0.03452"                 ,"15.61"            ,"15.60"            ,"23.6"   ,"50 m -  110 m"  ,"0"
"(2021 TK11)"        ,"2024-Oct-14 05:28 ± 2_12:07"  ,"0.02040"                 ,"0.00505"                 ,"10.58"            ,"10.57"            ,"28.6"   ,"5.2 m -   12 m" ,"0"
"(2022 TB41)"        ,"2024-Oct-15 17:43 ± 3_20:02"  ,"0.02550"                 ,"0.01957"                 ,"6.04"             ,"6.02"             ,"29.8"   ,"3.0 m -  6.6 m" ,"0"
"(2019 UH14)"        ,"2024-Oct-17 19:47 ±    09:01" ,"0.02130"                 ,"0.01986"                 ,"10.40"            ,"10.39"            ,"23.8"   ,"46 m -  100 m"  ,"1"
